FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1707	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	31681.327894	31701.151013	2	5020.73	5060.15	39.4135	5020.73	1.00802e+07	5.95178e+06	28	58	20	0.888388	0.648252
1708	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	54867.798228	54902.150815	2	5290.52	5338.71	48.1963	5290.52	9.97882e+06	5.94402e+06	50	100	32	0.849079	0.544168
1709	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	46605.825239	46634.934853	3	5329.93	5364.54	34.6094	5338.71	1.68474e+07	5.93814e+06	38	86	36	0.902477	0.622381
1710	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	4910.678050	4913.751914	14	554.665	717.403	162.738	611.049	5.18088e+07	5.91831e+06	5	9	5	0.973166	0.99842
1711	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	38323.936179	38347.865362	2	4948.7	4982.13	33.425	4982.13	6.66031e+06	5.89964e+06	36	71	22	0.912991	0.636978
1712	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	33060.594628	33081.236571	2	5198.89	5252.74	53.844	5198.89	1.0191e+07	5.84701e+06	28	56	20	0.945557	0.788437
1713	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	25374.101744	25390.000180	2	4939	4982.13	43.126	4939	9.19409e+06	5.83946e+06	19	42	14	0.891212	0.694285
1714	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	38212.864180	38236.727170	2	5610.93	5629.46	18.5318	5629.46	1.00207e+07	5.83422e+06	33	76	21	0.922413	0.74231
1715	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	57030.267610	57065.887617	2	5134.82	5194.51	59.6879	5194.51	1.02113e+07	5.78072e+06	49	96	24	0.850738	0.63457
1716	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	64783.092939	64823.592347	2	5257.12	5279.11	21.9935	5257.12	1.07321e+07	5.77836e+06	48	98	30	0.838044	0.607663
1717	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	24323.958276	24339.159966	2	4699.06	4716.35	17.2884	4716.35	9.52995e+06	5.77587e+06	23	41	15	0.875583	0.813643
1718	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	24694.087283	24709.508563	2	5574.95	5600.44	25.4933	5574.95	9.5668e+06	5.72402e+06	23	43	15	0.849264	0.862639
1719	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	33112.907170	33133.573788	2	4796.93	4819.85	22.9266	4796.93	7.31058e+06	5.71382e+06	35	56	13	0.865745	0.592674
1720	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	59096.834951	59133.765651	2	5088.25	5148.03	59.7803	5148.03	1.04416e+07	5.71092e+06	46	97	28	0.80527	0.796974
1721	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	43542.830007	43570.034344	2	5176.98	5216.57	39.589	5176.98	1.10734e+07	5.69187e+06	44	79	21	0.947886	0.628443
1722	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	45135.329983	45163.558102	2	5658.58	5692.87	34.2809	5658.58	8.09598e+06	5.68368e+06	33	82	30	0.906838	0.624494
1723	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	30135.585437	30154.389538	2	5509.29	5521.38	12.0922	5521.38	8.96586e+06	5.67442e+06	28	51	16	0.904712	0.60883
1724	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	32027.093661	32047.113470	2	5545.85	5588.12	42.2702	5588.12	9.557e+06	5.64508e+06	25	58	19	0.829498	0.6061
1725	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	42212.359708	42238.774212	2	5285.25	5296.65	11.4058	5285.25	8.47952e+06	5.62898e+06	41	75	27	0.822616	0.660671
1726	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	61694.651647	61733.211412	2	5148.03	5205.91	57.875	5148.03	9.71115e+06	5.60816e+06	48	100	34	0.811884	0.65122
1727	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	39764.986356	39789.872426	3	5100.53	5162.08	61.5577	5162.08	1.10462e+07	5.59562e+06	33	73	26	0.911818	0.618878
1728	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	23927.759335	23942.715726	2	5365.49	5404.67	39.1783	5404.67	7.42455e+06	5.59263e+06	24	42	16	0.936245	0.671123
1729	191018_Mmazei_BR4-1_3_HCD_5sec.mzML	30098.609391	30117.397377	2	4735.56	4763.92	28.3574	4735.56	1.02132e+07	5.58856e+06	27	54	17	0.852209	0.536629
