FeatureIndex	FileName	MonoisotopicMass	AverageMass	MassCount	StartRetentionTime	EndRetentionTime	RetentionTimeDuration	ApexRetentionTime	SumIntensity	MaxIntensity	MinCharge	MaxCharge	ChargeCount	IsotopeCosineScore	ChargeIntensityCosineScore
1451	20160406_L_VC_ColF18_Exp17_01.mzML	47147.434250	47176.954166	2	7398.41	7415.23	16.8263	7398.41	4.29742e+07	2.27651e+07	36	80	23	0.814681	0.727174
1452	20160406_L_VC_ColF18_Exp17_01.mzML	13992.493554	14001.210784	4	1929.53	2006	76.4717	1935.33	7.39008e+07	2.26385e+07	14	25	12	0.944927	0.955519
1453	20160406_L_VC_ColF18_Exp17_01.mzML	13986.425951	13995.143181	4	8156.11	8182.23	26.1237	8156.11	5.87728e+07	2.25557e+07	12	21	10	0.973047	0.978988
1454	20160406_L_VC_ColF18_Exp17_01.mzML	5425.890694	5429.276961	3	2517.91	2543.01	25.1	2538.58	5.9113e+07	2.24359e+07	6	9	4	0.969472	0.992284
1455	20160406_L_VC_ColF18_Exp17_01.mzML	4548.467812	4551.338154	4	1878.96	1921.77	42.8093	1878.96	7.39068e+07	2.24248e+07	5	8	4	0.888122	0.99853
1456	20160406_L_VC_ColF18_Exp17_01.mzML	7901.865274	7906.809111	4	2146.55	2192.24	45.6815	2188.92	4.93903e+07	2.23765e+07	6	14	9	0.972228	0.938481
1457	20160406_L_VC_ColF18_Exp17_01.mzML	9632.208205	9638.256422	2	2789.36	2828.34	38.9841	2789.36	3.97669e+07	2.2299e+07	13	16	4	0.967465	0.995147
1458	20160406_L_VC_ColF18_Exp17_01.mzML	7877.872407	7882.791303	58	1651.26	1692	40.7426	1660.64	5.35128e+08	2.22792e+07	6	14	9	0.999394	0.938834
1459	20160406_L_VC_ColF18_Exp17_01.mzML	11104.183755	11111.104555	2	2550.59	2562.31	11.7192	2562.31	3.61993e+07	2.21691e+07	11	19	8	0.943401	0.881318
1460	20160406_L_VC_ColF18_Exp17_01.mzML	8988.843447	8994.425996	2	8177.94	8205.02	27.082	8177.94	2.70022e+07	2.20196e+07	8	16	9	0.985532	0.973248
1461	20160406_L_VC_ColF18_Exp17_01.mzML	8933.795720	8939.339344	8	2249.97	2287.6	37.6308	2260.79	1.21661e+08	2.20155e+07	9	16	8	0.987606	0.996656
1462	20160406_L_VC_ColF18_Exp17_01.mzML	7227.006283	7231.545181	2	3799.48	3810.29	10.8119	3810.29	3.65098e+07	2.19483e+07	7	12	6	0.941561	0.966842
1463	20160406_L_VC_ColF18_Exp17_01.mzML	7817.856320	7822.747480	2	2235.48	2249.97	14.4846	2235.48	4.0328e+07	2.18093e+07	8	14	6	0.959348	0.724772
1464	20160406_L_VC_ColF18_Exp17_01.mzML	11729.408403	11736.710887	3	8165	8214.19	49.194	8165	2.4434e+07	2.16228e+07	8	19	10	0.914696	0.925756
1465	20160406_L_VC_ColF18_Exp17_01.mzML	9333.842706	9339.706504	3	1929.53	1951.48	21.9515	1943.78	5.00159e+07	2.16067e+07	7	17	11	0.949596	0.935912
1466	20160406_L_VC_ColF18_Exp17_01.mzML	6265.594614	6269.476397	4	965.074	1016.17	51.0928	1001.57	3.89649e+07	2.15777e+07	7	11	5	0.951305	0.992967
1467	20160406_L_VC_ColF18_Exp17_01.mzML	7892.866712	7897.799101	5	2069.95	2090.69	20.742	2079.82	7.07541e+07	2.12339e+07	7	13	7	0.963825	0.93466
1468	20160406_L_VC_ColF18_Exp17_01.mzML	13701.379321	13709.938423	3	1819.37	1871.15	51.7753	1819.37	4.02664e+07	2.11113e+07	16	24	9	0.935769	0.925037
1469	20160406_L_VC_ColF18_Exp17_01.mzML	8796.756835	8802.222279	3	2348.47	2382.27	33.7969	2348.47	5.08592e+07	2.10681e+07	10	16	7	0.948984	0.985303
1470	20160406_L_VC_ColF18_Exp17_01.mzML	6280.577707	6284.473438	25	1057.98	1175.29	117.31	1057.98	2.30458e+08	2.10062e+07	6	11	6	0.87016	0.996831
